COUNT;Geo Local Area;Geom
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.07441361933, 49.279695827697]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.074857731934, 49.2796979605425]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.074996475241, 49.2796987700945]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.075564473012, 49.2797046966739]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.071999554163, 49.2819437318669]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.137167779795, 49.2887139842342]}"
7;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.087991261761, 49.2814129736363]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.119473608845, 49.2786690753706]}"
3;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.12051443578, 49.2792450084934]}"
3;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100746404716, 49.2477160475194]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.105100397227, 49.2685025111823]}"
8;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.101537085353, 49.2816720528407]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.095094432715, 49.2815449095874]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.091992144792, 49.2664311135442]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.10014980669, 49.2806629161176]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069098242631, 49.2828112708577]}"
10;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.155472968184, 49.2714384318093]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.129743716704, 49.2866860789089]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.130081357263, 49.2869674190711]}"
3;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.125801991463, 49.277809093642]}"
6;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.15249095755, 49.2678616239873]}"
10;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.093970437711, 49.2809121997949]}"
3;West End;"{""type"": ""Point"", ""coordinates"": [-123.134595874529, 49.282172561265]}"
2;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.149231087615, 49.2634507818208]}"
6;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.080881540017, 49.27657100768]}"
6;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.08109051569, 49.2765726512546]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120728846553, 49.2811639064708]}"
4;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.069441886452, 49.2594074528221]}"
3;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.042762797285, 49.2881817749118]}"
3;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.037408258681, 49.2883824794865]}"
